date,stock_name,stock_code
2020-11-18,대성파인텍,104040
2020-11-19,애경유화,161000
2020-11-19,삼보산업,009620
2020-11-19,유테크,178780
2020-11-20,올릭스,226950
2020-11-20,한국타이어앤테크놀로지,161390
2020-11-20,센트럴인사이트,012600
2020-11-23,젠큐릭스,229000
2020-11-23,우리이앤엘,153490
2020-11-23,신성델타테크,065350
2020-11-24,젠큐릭스,229000
2020-11-24,이수앱지스,086890
2020-11-24,KNN,058400
2020-11-25,비티원,101140
2020-11-25,코디엠,224060
2020-11-25,모다이노칩,080420
2020-11-25,장원테크,174880
2020-11-26,한화시스템,272210
2020-11-26,에이비프로바이오,195990
2020-11-26,알파홀딩스,117670
2020-11-27,한국테크놀로지그룹,000240
2020-11-27,에이에프더블류,312610
2020-11-30,이녹스,088390
2020-11-30,젠큐릭스,229000
2020-11-30,제이엠티,094970
2020-12-01,아시아나항공,020560
2020-12-01,파버나인,177830
2020-12-01,멕아이씨에스,058110
2020-12-02,인트로메딕,150840
2020-12-02,아톤,158430
2020-12-02,한국정보인증,053300
2020-12-03,룽투코리아,060240
2020-12-03,올릭스,226950
2020-12-03,일신바이오,068330
2020-12-04,박셀바이오,323990
2020-12-04,티앤알바이오팹,246710
2020-12-04,대호피앤씨,021040
2020-12-07,진원생명과학,011000
2020-12-07,신풍제지,002870
2020-12-07,녹십자랩셀,144510
2020-12-08,헬릭스미스,084990
2020-12-08,재영솔루텍,049630
2020-12-08,한국프랜지,010100
2020-12-09,신성이엔지,011930
2020-12-09,위지윅스튜디오,299900
2020-12-09,모베이스전자,012860
2020-12-10,버킷스튜디오,066410
2020-12-10,백금T,046310
2020-12-10,대웅,003090
2020-12-11,휴켐스,069260
2020-12-11,휴켐스,069260
2020-12-11,휴켐스,069260
2020-12-11,신테카바이오,226330
2020-12-14,AJ네트웍스,095570
2020-12-14,오텍,067170
2020-12-15,비트컴퓨터,032850
2020-12-15,일진디스플,020760
2020-12-15,카프로,006380
2020-12-16,영풍제지,006740
2020-12-16,강스템바이오텍,217730
2020-12-16,네오펙트,290660
2020-12-17,삼보판지,023600
2020-12-17,지니언스,263860
2020-12-18,형지엘리트,093240
2020-12-21,수젠텍,253840
2020-12-22,국제약품,002720
2020-12-22,테고사이언스,191420
