date,stock_name,stock_code,end_date,br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1,gap_change,mean_vlome,today_vlome,vlome_change,slope,day_change,deter_change
2019-11-05,카리스국보,001140,20191105,3550,3680,4580,2372571,1438381,2137357,864469,2452847,2439125,1386234,1174799,636299,1330216,10395018,3470,3210,3300,3175,3145,3130,3450,3300,3300,3290,0.0366197183098591,1490666.2,10395018,5.973404240332276,-0.0007325411036951,900,1
2019-11-05,필룩스,033180,20191105,9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190,0.0691547749725576,21985283.2,62400351,1.83827824423931,-0.000643445435827,360,1
2019-11-05,필룩스,033180,20191105,9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190,0.0691547749725576,21985283.2,62400351,1.83827824423931,-0.000643445435827,360,1
2019-11-05,필룩스,033180,20191105,9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190,0.0691547749725576,21985283.2,62400351,1.83827824423931,-0.000643445435827,360,1
2019-11-05,필룩스,033180,20191105,9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190,0.0691547749725576,21985283.2,62400351,1.83827824423931,-0.000643445435827,360,1
2019-11-05,플리토,300080,20191105,22000,23800,25250,235418,423783,172175,252526,1661048,174276,151038,213067,128357,279690,1208900,21850,22000,22750,22850,22250,22550,22600,23000,22850,21650,0.0818181818181817,343693.8,1208900,2.5173750588459844,0.001246694370986,1450,1
2019-11-06,케이피엠테크,042040,20191106,1160,1205,1505,939673,915230,646756,4448917,1179315,564805,602045,2170455,2305449,25209605,53666978,997,980,980,983,1005,1010,1005,1015,1025,1040,0.0387931034482758,1377415.0,53666978,37.9620978426981,0.1339739966082536,300,1
2019-11-06,필룩스,033180,20191106,8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950,0.017877094972067,25813464.8,39550507,0.5321657633499861,0.0014987747243129,450,1
2019-11-06,필룩스,033180,20191106,8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950,0.017877094972067,25813464.8,39550507,0.5321657633499861,0.0014987747243129,450,1
2019-11-06,필룩스,033180,20191106,8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950,0.017877094972067,25813464.8,39550507,0.5321657633499861,0.0014987747243129,450,1
2019-11-06,필룩스,033180,20191106,8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950,0.017877094972067,25813464.8,39550507,0.5321657633499861,0.0014987747243129,450,1
2019-11-06,비덴트,121800,20191106,12250,13100,14500,411067,375867,614516,6410234,933971,2240948,2939200,0,420258,9858253,8751038,8610,8700,8800,9500,9300,9720,10850,11750,15250,12050,0.0693877551020407,1436056.1,8751038,5.09379953888988,0.0012193229741881,1400,1
2019-11-07,한류AI센터,222810,20191107,514,564,660,268189,543839,668500,169830,269897,784692,547871,367950,376979,11602793,22263506,372,379,382,380,380,380,385,390,388,387,0.0972762645914397,399840.7,22263506,54.68093993432885,0.4978354978354875,96,1
2019-11-07,KT서브마린,060370,20191107,3075,3250,3810,38661,35466,72712,121494,23161,26407,12340,165299,231768,71058,7575574,2910,2905,2870,2860,2870,2880,2885,2910,2935,3060,0.056910569105691,73111.8,7575574,102.61629723245768,0.0303928836174948,560,1
2019-11-07,서연탑메탈,019770,20191107,3000,3410,3580,73167,75651,170330,123762,94090,61111,92580,117592,122070,472355,4702410,2665,2735,2800,2870,2780,2780,2800,2870,2875,2880,0.1366666666666667,93393.3,4702410,49.35061401620887,0.0341169244513928,170,1
2019-11-07,알리코제약,260660,20191107,16450,16700,18000,246112,122387,1925148,5115955,7203573,8150704,8841541,1407809,5660755,2984944,2232649,12050,11750,11600,12600,12800,14250,14700,15350,15100,16450,0.0151975683890577,3869198.4,2232649,-0.4229685921507669,0.0016902445239286,1300,1
2019-11-08,한국화장품,123690,20191108,8490,9040,9890,63275,56970,38683,429551,551412,185342,118299,134987,103010,70178,1853792,7800,7870,7920,7900,8180,8420,8360,8450,8520,8460,0.0647820965842167,169141.9,1853792,9.959980939081328,0.0099359146965372,850,1
2019-11-08,윙입푸드,900340,20191108,2030,2370,2635,502016,486280,321403,311224,332369,337552,396992,8080710,1070881,1086306,24299334,1900,1895,1915,1910,1895,1895,1910,1965,2045,2015,0.167487684729064,1184206.2,24299334,19.51951256461924,0.0431249422846062,265,1
2019-11-08,일야,058450,20191108,1725,1800,1995,429485,108056,71857,48913,75526,423246,5989271,4555837,1181470,435600,4922811,1385,1390,1375,1350,1330,1300,1395,1575,1690,1670,0.0434782608695651,1288565.6,4922811,2.82038058442659,0.0156080934862584,195,1
2019-11-11,CJ헬로,037560,20191111,6600,6970,7220,85577,103728,59553,101181,321057,377709,440014,570140,304637,647312,2841769,6120,6080,6080,6030,6050,6060,6260,6220,6310,6330,0.0560606060606061,237081.6,2841769,10.9864595143613,0.0207556760420197,250,1
2019-11-11,큐브엔터,182360,20191111,3915,4500,5080,627731,609913,474538,366210,344316,636176,748073,372215,1998935,14240948,9582679,2530,2650,2650,2610,2575,2600,2710,2800,2835,3060,0.1494252873563217,618318.7,9582679,14.497960841229611,0.0158307835572701,580,1
2019-11-11,한섬,020000,20191111,31500,33000,34650,60352,43217,53763,50362,28385,45597,45494,181037,84911,114090,258442,29500,29450,28850,29050,28850,29200,29400,29550,30900,30450,0.0476190476190476,62776.8,258442,3.1168393419224936,0.0029419097481924,1650,1
2019-11-11,유엔젤,072130,20191111,4520,4900,5870,85047,59746,34989,38682,22528,38902,32278,39316,654304,1455215,6824041,3730,3760,3755,3785,3810,3830,3800,3840,3865,4110,0.084070796460177,101166.2,6824041,66.4537642018777,0.022428236884672,970,1
2019-11-12,SDN,099220,20191112,2550,2635,2745,19543925,15088797,3809429,13300113,39085841,11425061,11657051,6320471,5615519,35616369,11315930,1550,1770,1810,1795,2000,2380,2265,2225,2255,2360,0.0333333333333334,12584895.2,11315930,-0.1008324010516987,0.0093678775158062,110,1
2019-11-12,서울제약,018680,20191112,6810,7030,8420,6672,12677,24225,13852,14627,141991,66036,30351,19088,22365,3418535,6460,6440,6480,6530,6620,6660,6920,6860,6820,6640,0.0323054331864904,33793.9,3418535,100.15834514512974,0.0136846783452464,1390,1
2019-11-12,장원테크,174880,20191112,2450,2645,2835,291272,154089,434015,270445,972256,283088,200162,215362,124929,329537,4367721,2280,2305,2320,2380,2410,2430,2420,2415,2410,2390,0.0795918367346939,294845.3,4367721,13.813602251757109,0.0445036135412699,190,1
