br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1
2030,2370,2635,502016,486280,321403,311224,332369,337552,396992,8080710,1070881,1086306,24299334,1900,1895,1915,1910,1895,1895,1910,1965,2045,2015
1725,1800,1995,429485,108056,71857,48913,75526,423246,5989271,4555837,1181470,435600,4922811,1385,1390,1375,1350,1330,1300,1395,1575,1690,1670
6600,6970,7220,85577,103728,59553,101181,321057,377709,440014,570140,304637,647312,2841769,6120,6080,6080,6030,6050,6060,6260,6220,6310,6330
3915,4500,5080,627731,609913,474538,366210,344316,636176,748073,372215,1998935,14240948,9582679,2530,2650,2650,2610,2575,2600,2710,2800,2835,3060
31500,33000,34650,60352,43217,53763,50362,28385,45597,45494,181037,84911,114090,258442,29500,29450,28850,29050,28850,29200,29400,29550,30900,30450
4520,4900,5870,85047,59746,34989,38682,22528,38902,32278,39316,654304,1455215,6824041,3730,3760,3755,3785,3810,3830,3800,3840,3865,4110
2550,2635,2745,19543925,15088797,3809429,13300113,39085841,11425061,11657051,6320471,5615519,35616369,11315930,1550,1770,1810,1795,2000,2380,2265,2225,2255,2360
6810,7030,8420,6672,12677,24225,13852,14627,141991,66036,30351,19088,22365,3418535,6460,6440,6480,6530,6620,6660,6920,6860,6820,6640
2450,2645,2835,291272,154089,434015,270445,972256,283088,200162,215362,124929,329537,4367721,2280,2305,2320,2380,2410,2430,2420,2415,2410,2390
2350,2515,2800,27194,151178,61598,98326,48575,40355,26299,46014,21141,556948,3905280,2190,2205,2255,2210,2220,2240,2250,2230,2255,2260
1950,2100,2295,1587187,810801,956304,1255000,1436682,761319,845690,945265,464398,496272,6254052,1735,1820,1855,1875,1970,1980,1990,1925,1940,1915
1355,1385,1750,1122294,872437,497120,511915,885745,514777,1596915,631758,754177,971315,85557514,1300,1300,1300,1310,1290,1300,1290,1330,1330,1335
6400,6590,8270,255701,103100,318241,5811276,10952409,4442889,552365,780157,1247603,1929704,9858753,3950,4070,4090,4270,5210,5310,5400,5540,5940,5850
1015,1095,1180,462505,626620,379374,667819,4838265,7461323,17507120,3685274,2379540,19301407,37106691,798,793,795,798,813,865,895,951,950,950
29850,31900,33000,50906,81699,145887,48551,46345,27971,22760,63806,24899,55148,402842,29500,30400,32100,31650,30850,30700,30700,29600,29400,29150
2395,2470,2575,89195,269204,109081,152669,205960,100572,188105,73124,186929,116271,465976,2320,2295,2300,2310,2310,2330,2315,2325,2300,2320
3785,3905,4145,2052259,2331924,686982,485004,647213,412853,233755,288918,201212,576018,6616759,3715,3780,3720,3760,3750,3725,3700,3645,3660,3665
8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970
8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970
8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970
8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970
