published_date,updated_date,commentor,comment,like
2022-06-19T05:14:31Z,2022-06-19T05:14:31Z,김동익,6월1일부로 예비군훈련이 재개되었습니다^^,0
2022-06-19T05:14:27Z,2022-06-19T05:14:27Z,잼민컷,소말리아 해적을 본적이 있겠냐고 ㅋㅋ,0
2022-06-19T05:14:26Z,2022-06-19T05:14:26Z,영길,지나가는 민방위아저씨입니다. 예비군 아저씨들 ㅈ뺑이 치세요 ㅎㅎ,1
2022-06-19T05:14:20Z,2022-06-19T05:14:20Z,오킹형 항상 파이팅,오늘도 개웃기네 섭외력도 대단해서 매일 영상이 즐거움ㅋㅋㅋ,0
2022-06-19T05:14:20Z,2022-06-19T05:14:20Z,김Tyrant,우리동네 특공댘ㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:13:59Z,2022-06-19T05:13:59Z,PARK,"실제로 수색대대만 가도 패스트로프 타고 AK 사격도 해요,,!",0
2022-06-19T05:13:54Z,2022-06-19T05:13:54Z,해하,40분 인데 22만명 ㄷㄷ,1
2022-06-19T05:13:51Z,2022-06-19T05:13:51Z,어캣 미,"특공대 ak 사격, 페스트로프.. 병사들도 다 하는데 안믿는 사람 많음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4년동안 있으면서 속썩이는 병사는 기억에 없을 정도로 괜찮은 친구들도 많았고 같이 훈련하고 그랬는데..",0
2022-06-19T05:13:40Z,2022-06-19T05:13:40Z,AidenRyu,아니 ㅋㅋㅌㅋㅋㅋ H형 연기 개잘하네 ㄹㅇ ㅋㅋ,1
2022-06-19T05:13:39Z,2022-06-19T05:13:39Z,poCLOVERwer,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:13:38Z,2022-06-19T05:13:38Z,덕,H님 연기 왜이렇게 잘하셔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 재밌네,1
2022-06-19T05:13:36Z,2022-06-19T05:13:36Z,hyunjin kim,"내 UDT . 이 한마디로 정리 🧹 ㅋㅋㅋㅋㅋ
쏘면 꿍~ ㅋㅋㅋㅋㅋㅋㅋㅋ
남자들 현실 술자리 같네요 🤣",0
2022-06-19T05:13:33Z,2022-06-19T05:13:33Z,이의섭,"국수사 나왓을때 엥 햇는데 호송대대나왓나보네 여기아는사람첨봄 ㅋㅋㅋㅋ 난 2중대였음 국수사는 수송사령부가잇어? 하는데 호송대대는 진짜 아무도잇는지모름,, 설명해줘도 반응시큰둥하고.

내가보는 유투버가 호송대대얘기하니까 반갑네",0
2022-06-19T05:13:30Z,2022-06-19T05:13:30Z,3min Quickbook,UDT는 4년이 넘는거구나... 대박쓰... 아니 그 거친 훈련들 받고도 피부 빛나는거...ㅠㅠ피부 외모는 역시 유전이야ㅎㅎㅎ 자랑스럽습니다 우리 국군 장병들~~~!!!,56
2022-06-19T08:40:27Z,2022-06-19T08:40:27Z,관심은사양합니다,H님 : 선크림 꼭 바르세요,4
2022-06-19T08:12:05Z,2022-06-19T08:12:05Z,NPK,@몰?루 맞습니다 부사관 의무복무가 최소 4년이여서 그렇습니다,6
2022-06-19T07:41:48Z,2022-06-19T07:41:48Z,몰?루,부사관이어서 그런거 아닌가요? 부사관 촉소복무가 4년이어서,0
2022-06-19T05:13:30Z,2022-06-19T05:14:25Z,Why So Serious? -,사투리 오진다,0
2022-06-19T05:13:26Z,2022-06-19T05:13:26Z,공부하는웅,특공!,0
2022-06-19T05:13:17Z,2022-06-19T05:13:17Z,아이러니,천하제일 노예자랑,0
2022-06-19T05:13:14Z,2022-06-19T05:13:14Z,신자,"와 진쯔 ㅋㅋㅋ 섭외력하며 
부족한게 없다 진쯔 ㅋㅋㅋ",0
2022-06-19T05:13:09Z,2022-06-19T05:13:09Z,태봉이,황지훈 존나 멋있음 줫근이랑 다르게,0
2022-06-19T05:13:08Z,2022-06-19T05:13:08Z,성수 윤,행정병이든 소총수든 포병이든 있을만하니까 있는겁니다. 국군 장병들 응원합니다!,0
2022-06-19T05:13:05Z,2022-06-19T05:13:05Z,Youth,H님 눈빛이 선했는데 요즘은 날카로워 보이더라고요.,0
2022-06-19T05:12:40Z,2022-06-19T05:15:37Z,靖友 Jeong Woo,요즘에는 너덜트가 제일 재밌당,0
2022-06-19T05:12:28Z,2022-06-19T05:12:28Z,왜?뭐가 궁금한데?,요즘군대는 당나라군대... 무슨 단체 합숙훈련하는거 같음,0
2022-06-19T05:12:05Z,2022-06-19T05:12:05Z,깍쟁e A,"우리 에이치형. 뜻밖에 연기력에 놀라고... 요원이라면 익숙한 멘트들에 한번 더 놀랍니다. 🤭 
이시간에도 대한민국을 지켜주시는 모든 현역. 예비역. 미래역(?)분들 감사합니다.",1
2022-06-19T05:11:56Z,2022-06-19T05:11:56Z,KIM DAEUP,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:11:48Z,2022-06-19T05:11:48Z,경석소,마지막이 진짜 쥰나웃기네 ㅋㅋㅋ,0
2022-06-19T05:11:45Z,2022-06-19T05:11:45Z,하품,아… 운전병으로가서 행정병으로써 아스텔지 많다뤄보고 엑셀두드리다가 유류병으로 기름을 만지면서 특등사수에 헬기부대라 헬기타고 차수리도하고.. 사람이없어서 힘들었네요 똥먹어본사람 좋아요..,0
2022-06-19T05:11:39Z,2022-06-19T05:11:39Z,Hmmm,h 형님 예비군 얘기 시작하자마자 연기력 급상승함 ㅋㅋㅋㅋㅋㅋㅋ,1
2022-06-19T05:11:32Z,2022-06-19T05:11:32Z,JH C,진짜 유튜브 채널중에서 스킵 안하면서 본 거의 유일한 채널인듯...,1
2022-06-19T05:11:32Z,2022-06-19T05:11:32Z,박승민,군생활이 상대적이긴하지만 개꿀보직이라 불리는곳도 자기 군생활이 젤 힘들게 느껴지죠 ㅋㅋ 다들 파이팅..,0
2022-06-19T05:11:28Z,2022-06-19T05:11:28Z,잼민컷,요즘 군대는 군대냐 ㅇㅈㄹ하는건 군부심 맞음,3
2022-06-19T05:11:27Z,2022-06-19T05:11:27Z,미트러그,"술에 안 취한 사람과 취했다고 생각하는 사람의 신경전 얘기 만들어주세요ㅋㅋㅋ
실수로 숟가락 떨어뜨리거나 물 엎지르거나 하면 취했다고 집에 보내려는 사람과 안취했다고 괜찮다고 하는사람 사이의 신경전ㅋㅋㅋ",22
2022-06-19T05:11:12Z,2022-06-19T05:11:12Z,이진수,어마 ~ 소말리아 해적본적잇나!!,0
2022-06-19T05:11:11Z,2022-06-19T05:11:11Z,dzzz,현역인데 너무 웃기네요 ㅋㅋㅋㅋㅋㅋㅋ,1
2022-06-19T05:11:02Z,2022-06-19T05:11:02Z,성이름,ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋUDT 사투리 개찰짐,0
2022-06-19T05:11:02Z,2022-06-19T05:11:02Z,아이건좀,광고도 신한 너덜트 광고 나오자너..,0
2022-06-19T05:10:41Z,2022-06-19T05:10:41Z,장현국,ㅈ,0
2022-06-19T05:10:40Z,2022-06-19T05:10:40Z,지니장군,"H님 사투리 개발린다;,, ㅠㅠㅠ",0
2022-06-19T05:10:36Z,2022-06-19T05:10:36Z,정동익,군대 이야기는 못참지~,0
2022-06-19T05:10:23Z,2022-06-19T05:10:23Z,J H,면제라 미안합니다..,0
2022-06-19T05:10:21Z,2022-06-19T05:10:21Z,떼쟁이,전역하고 이틀이면 끝날일들을...ㅉㅉㅉ 엄마 밥줘! 내옷어디있어???  나 놀러가야 한다고 친구가 술먹자는데 빨리 엄마!! ㅋ ㅋ,1
