published_date,updated_date,commentor,comment,like
2022-02-04T02:45:38Z,2022-02-04T02:45:38Z,frostfire,근데 굉장한 미인이시네요.,0
2022-02-02T09:57:48Z,2022-02-02T09:57:48Z,ᄏᄏ,왕점녀,0
2022-02-01T07:55:33Z,2022-02-01T07:55:33Z,Patek Philippe,서대문구 대장 재갈건이랑 동기겠네,1
2022-01-25T11:21:20Z,2022-01-25T11:21:20Z,김진희,"유퀴즈 보는이유중 하나 조세호님 진행때문에
봅니다!!",0
2022-01-24T09:01:52Z,2022-01-24T09:01:52Z,pieone,일을 너무 열심히 하셔서 얼굴에 먹이 묻은것도 모를정도로.. 저정도는 해야 성공한다,1
2022-01-22T12:50:46Z,2022-01-22T12:50:46Z,Nayeong,4:01 와 여기서 여진구 나온 작품 3개나 있네,0
2022-01-22T04:19:27Z,2022-01-22T04:19:27Z,ming jal,08:08 난리났네 진짜ㅋㅋ 개멋있다,1
2022-01-22T03:56:48Z,2022-01-22T03:57:19Z,쉬이나륑고,같은 중학교였는데 친한사이는 아니었지만 친구의 친구로 가끔 보면 작고 정말 밝고 정말 예뻤던친구였던 기억이 서예를 하는지 몰랐지만 문득 이렇게 보니 반갑네요! 같은 나이인데도 정말 멋있으십니다!,1
2022-01-21T06:23:45Z,2022-01-21T06:23:45Z,CM J,사람 자체가 굉장히 매력있으시네 ㅋㅋ,0
2022-01-20T11:54:14Z,2022-01-20T11:54:14Z,가로세로연구소 연구원 김찬호,초등학교 때 문구점에서 서예도구세트 사러갔는데,0
2022-01-19T23:32:32Z,2022-01-19T23:32:59Z,D.S LEE,대충 산만하다 싶으면 서예 뚱뚱하면 유도 집중못하면 음악이나 주산학원이였지.,0
2022-01-19T18:54:16Z,2022-01-19T18:54:16Z,헤이즐넛,글로 마음을 표현할수있는 한글 참 대단하다 세계최고의 언어다 정말,1
2022-01-16T09:32:29Z,2022-01-16T09:32:29Z,유레카,그렇게 한국꺼 좋으면 호칭좀 알고 씁시다 이정화씨든 누구든 나보다 나이가 많으면 님자를 붙이는 것이고 어리면 씨 를 사용 합니다 그리고 자기는 나를 가르칠수 있어서 의지할수 있는 남자는 여자 여자는 남자에게 사용하는 것,0
2022-02-09T12:07:30Z,2022-02-09T12:07:30Z,유레카,@baron ㅎㅎ 그 요샌 때문에 존대를 해줘도 욕한다고 지랄하는 무개념 상놈들이 온천지임 이봐 당신 그러면 뭐? 당신? 너 지금 당신이라고 했냐 ㅋㅎㅎㅎ 에휴 당신 마누라 영감 이런 단어가 그 요샌 이란 의미로 욕이 됐소 참 좋은 마인드를 가지셨습니다,0
2022-02-09T06:45:25Z,2022-02-09T06:45:25Z,baron,요샌 딱히 그렇지않아요 그리고 언어의 의미와 쓰임은 계속 바뀝니다 무엇이 정답이라고 할수없어요,2
2022-01-15T16:00:50Z,2022-01-15T16:00:50Z,seoul in&out,존예다...,0
